vehicle_id,service_date,repair_type,repair_cost
V00025,2026-04-26,Transmission Repair,2327.21
V00025,2026-04-08,Brake Repair,526.27
V00025,2026-04-26,Battery Replacement,274.37
V00025,2026-01-05,Brake Repair,487.2
V00025,2026-01-14,Engine Inspection,618.2
V00026,2026-03-23,Brake Repair,390.06
V00026,2026-01-28,Engine Inspection,787.64
V00027,2026-01-28,Transmission Repair,2308.8
V00027,2026-02-15,Transmission Repair,2436.68
V00027,2026-01-13,Battery Replacement,355.18
V00027,2026-01-01,Battery Replacement,373.5
V00028,2026-01-05,Battery Replacement,304.61
V00028,2026-03-01,Engine Inspection,839.54
V00029,2026-01-29,Oil Change,114.48
V00029,2026-02-07,Battery Replacement,254.96
V00029,2026-03-25,Engine Inspection,785.6
V00029,2026-04-01,Engine Inspection,565.4
V00030,2026-03-20,Cooling System,924.22
V00031,2026-02-28,Brake Repair,408.38
V00031,2026-01-04,Battery Replacement,374.59
V00032,2026-04-01,Engine Inspection,769.34
V00032,2026-02-05,Transmission Repair,1737.69
V00032,2026-01-21,Engine Inspection,786.67
V00032,2026-01-06,Transmission Repair,2065.96
V00032,2026-04-28,Oil Change,104.46
V00033,2026-03-16,Brake Repair,534.93
V00034,2026-02-12,Oil Change,98.06
V00034,2026-01-05,Engine Inspection,788.36
V00036,2026-04-04,Battery Replacement,395.06
V00036,2026-02-17,Transmission Repair,2406.78
V00036,2026-04-27,Oil Change,141.64
V00037,2026-02-07,Oil Change,158.14
V00037,2026-01-23,Battery Replacement,247.53
V00037,2026-02-02,Battery Replacement,277.6
V00038,2026-03-05,Oil Change,106.05
V00038,2026-04-19,Brake Repair,626.51
V00039,2026-03-21,Brake Repair,456.21
V00039,2026-03-05,Brake Repair,365.31
V00039,2026-02-19,Oil Change,136.12
V00040,2026-04-15,Brake Repair,493.97
V00040,2026-01-25,Transmission Repair,1938.76
V00040,2026-04-15,Battery Replacement,417.31
V00041,2026-02-22,Brake Repair,530.53
V00041,2026-02-07,Oil Change,160.23
V00041,2026-01-05,Oil Change,161.23
V00041,2026-04-25,Oil Change,100.34
V00042,2026-04-17,Oil Change,102.24
V00042,2026-02-15,Battery Replacement,316.93
V00042,2026-03-29,Engine Inspection,685.4
V00043,2026-02-26,Oil Change,165.27
V00043,2026-02-27,Brake Repair,528.78
V00043,2026-04-18,Cooling System,969.18
V00043,2026-02-23,Oil Change,107.08
V00044,2026-02-05,Engine Inspection,697.52
V00044,2026-03-17,Engine Inspection,830.9
V00044,2026-02-14,Engine Inspection,726.59
V00044,2026-01-03,Oil Change,127.31
V00045,2026-02-12,Brake Repair,535.1
V00046,2026-04-09,Oil Change,109.23
V00046,2026-02-01,Brake Repair,627.73
V00047,2026-02-24,Oil Change,103.73
V00047,2026-04-30,Battery Replacement,311.1
V00047,2026-01-20,Brake Repair,560.21
V00048,2026-02-15,Cooling System,655.92
V00048,2026-04-13,Cooling System,698.57
V00048,2026-04-28,Cooling System,673.36
V00048,2026-03-16,Engine Inspection,711.88
V00049,2026-04-05,Oil Change,123.88
V00049,2026-01-06,Brake Repair,524.0
V00049,2026-04-29,Battery Replacement,360.94
V00049,2026-04-04,Brake Repair,510.42
V00049,2026-03-04,Brake Repair,415.58
V00050,2026-02-05,Engine Inspection,645.02
V00050,2026-03-20,Oil Change,134.44
V00050,2026-04-04,Battery Replacement,384.22
V00050,2026-04-11,Oil Change,165.46
V00050,2026-02-23,Oil Change,165.75
V00050,2026-01-28,Transmission Repair,2160.67
V00051,2026-03-20,Engine Inspection,775.66
V00052,2026-04-03,Brake Repair,529.9
V00052,2026-02-19,Battery Replacement,327.55
V00052,2026-03-08,Brake Repair,445.28
V00052,2026-03-22,Oil Change,105.02
V00052,2026-04-03,Brake Repair,500.2
V00052,2026-01-27,Oil Change,114.87
V00053,2026-04-12,Oil Change,101.7
V00054,2026-01-05,Oil Change,123.41
V00054,2026-04-21,Engine Inspection,797.55
V00054,2026-03-05,Engine Inspection,626.61
V00055,2026-01-28,Engine Inspection,778.49
V00055,2026-02-21,Engine Inspection,817.75
V00055,2026-03-17,Engine Inspection,551.87
V00055,2026-04-20,Oil Change,144.53
V00055,2026-02-14,Transmission Repair,1866.57
V00055,2026-03-19,Brake Repair,591.06
V00056,2026-04-24,Battery Replacement,397.32
V00056,2026-04-21,Engine Inspection,830.8
V00056,2026-02-23,Brake Repair,417.76
V00057,2026-01-13,Engine Inspection,618.0
V00057,2026-03-17,Battery Replacement,322.7
V00058,2026-04-13,Cooling System,866.85
V00059,2026-01-16,Battery Replacement,353.53
V00059,2026-02-03,Brake Repair,497.91
V00059,2026-02-22,Oil Change,108.37
V00059,2026-01-09,Cooling System,748.45
V00060,2026-02-17,Oil Change,149.74
V00060,2026-01-18,Brake Repair,465.74
V00060,2026-03-31,Oil Change,122.29
V00060,2026-03-07,Battery Replacement,254.15
V00061,2026-01-22,Brake Repair,383.84
V00061,2026-04-12,Engine Inspection,628.68
V00061,2026-02-13,Oil Change,104.95
V00061,2026-04-06,Brake Repair,623.31
V00061,2026-03-06,Oil Change,134.04
V00062,2026-02-17,Oil Change,96.84
V00062,2026-03-23,Engine Inspection,637.63
V00062,2026-03-08,Oil Change,135.62
V00063,2026-03-16,Oil Change,121.19
V00063,2026-02-19,Brake Repair,372.99
V00064,2026-02-17,Brake Repair,461.61
V00065,2026-02-12,Brake Repair,469.28
V00065,2026-02-27,Oil Change,158.01
V00065,2026-01-24,Oil Change,123.96
V00065,2026-04-14,Transmission Repair,2485.23
V00065,2026-04-17,Cooling System,873.78
V00066,2026-03-02,Engine Inspection,618.55
V00066,2026-03-31,Transmission Repair,1522.42
V00066,2026-02-08,Cooling System,740.54
V00066,2026-04-12,Oil Change,151.54
V00066,2026-03-26,Transmission Repair,1530.66
V00067,2026-04-22,Battery Replacement,355.59
V00067,2026-01-20,Cooling System,606.05
V00067,2026-02-26,Brake Repair,445.21
V00067,2026-03-27,Cooling System,654.42
V00068,2026-03-31,Engine Inspection,746.54
V00068,2026-04-02,Battery Replacement,363.82
V00068,2026-04-16,Brake Repair,410.91
V00068,2026-04-08,Brake Repair,446.0
V00068,2026-01-19,Engine Inspection,495.97
V00068,2026-01-15,Brake Repair,622.77
V00068,2026-03-20,Oil Change,101.02
V00070,2026-04-23,Oil Change,103.67
V00070,2026-02-12,Brake Repair,408.47
V00071,2026-02-05,Battery Replacement,243.38
V00071,2026-04-24,Battery Replacement,290.78
V00071,2026-02-17,Oil Change,131.29
V00071,2026-01-18,Brake Repair,449.99
V00071,2026-03-19,Cooling System,979.71
V00072,2026-01-15,Oil Change,163.57
V00072,2026-01-13,Brake Repair,601.1
V00073,2026-03-13,Battery Replacement,409.61
V00073,2026-03-15,Engine Inspection,683.8
V00074,2026-03-12,Transmission Repair,2455.11
V00074,2026-04-22,Brake Repair,533.16
V00074,2026-02-12,Oil Change,102.28
V00074,2026-03-28,Oil Change,119.73
V00075,2026-01-22,Engine Inspection,503.19
V00076,2026-01-31,Transmission Repair,2266.75
V00076,2026-01-24,Oil Change,112.93
V00077,2026-04-26,Brake Repair,462.35
V00077,2026-04-28,Oil Change,138.75
V00077,2026-04-06,Oil Change,151.04
V00078,2026-01-30,Brake Repair,531.37
V00078,2026-03-07,Brake Repair,379.88
V00079,2026-02-09,Oil Change,142.29
V00079,2026-04-04,Oil Change,101.28
V00079,2026-02-13,Engine Inspection,684.86
V00080,2026-04-30,Oil Change,136.15
V00081,2026-01-14,Oil Change,123.57
V00081,2026-01-28,Battery Replacement,358.59
V00081,2026-01-19,Battery Replacement,318.1
V00083,2026-01-03,Oil Change,126.75
V00083,2026-02-26,Transmission Repair,2161.78
V00083,2026-02-21,Engine Inspection,511.72
V00083,2026-03-02,Brake Repair,423.61
V00083,2026-02-22,Transmission Repair,1899.38
V00084,2026-04-30,Battery Replacement,325.34
V00085,2026-04-06,Oil Change,112.83
V00085,2026-02-13,Oil Change,140.21
V00085,2026-02-07,Battery Replacement,307.6
V00085,2026-03-03,Brake Repair,629.11
V00085,2026-01-11,Cooling System,810.89
V00086,2026-04-05,Oil Change,156.2
V00086,2026-03-01,Transmission Repair,2460.53
V00086,2026-01-22,Brake Repair,590.96
V00086,2026-04-26,Transmission Repair,1781.32
V00087,2026-03-13,Battery Replacement,406.76
V00087,2026-04-02,Battery Replacement,277.73
V00088,2026-03-29,Brake Repair,487.19
V00088,2026-04-26,Cooling System,847.35
V00089,2026-03-04,Oil Change,130.87
V00089,2026-03-09,Oil Change,111.19
V00089,2026-01-07,Engine Inspection,509.08
V00089,2026-02-17,Oil Change,135.16
V00089,2026-02-25,Cooling System,913.51
V00089,2026-03-20,Oil Change,107.32
V00089,2026-03-18,Battery Replacement,347.77
V00090,2026-02-09,Oil Change,144.97
V00090,2026-02-16,Engine Inspection,574.97
V00090,2026-02-04,Engine Inspection,564.36
V00091,2026-04-27,Battery Replacement,315.3
V00091,2026-04-11,Battery Replacement,342.16
V00091,2026-03-07,Brake Repair,418.96
V00092,2026-04-27,Battery Replacement,408.28
V00092,2026-01-12,Oil Change,156.48
V00092,2026-03-07,Transmission Repair,1856.91
V00092,2026-01-26,Oil Change,98.82
V00093,2026-02-09,Oil Change,96.78
V00094,2026-02-03,Brake Repair,387.41
V00094,2026-01-19,Battery Replacement,287.98
V00094,2026-02-19,Brake Repair,419.96
V00094,2026-04-18,Cooling System,937.45
V00094,2026-04-02,Oil Change,118.25
V00095,2026-01-24,Battery Replacement,324.36
V00095,2026-04-19,Engine Inspection,697.27
V00096,2026-04-09,Battery Replacement,274.73
V00096,2026-04-09,Oil Change,96.67
V00097,2026-03-31,Battery Replacement,307.49
V00097,2026-02-22,Engine Inspection,707.95
V00099,2026-02-09,Engine Inspection,518.6
V00099,2026-04-30,Brake Repair,605.67
V00100,2026-01-11,Battery Replacement,334.06
V00100,2026-04-20,Brake Repair,445.18
V00100,2026-04-26,Engine Inspection,590.96
V00101,2026-01-11,Battery Replacement,247.33
V00101,2026-04-25,Engine Inspection,711.41
V00101,2026-04-07,Battery Replacement,264.29
V00101,2026-02-27,Battery Replacement,359.72
V00102,2026-03-08,Engine Inspection,736.1
V00103,2026-02-03,Battery Replacement,339.17
V00103,2026-01-21,Oil Change,112.68
V00103,2026-04-02,Oil Change,139.4
V00104,2026-02-23,Battery Replacement,305.36
V00104,2026-01-01,Engine Inspection,522.26
V00104,2026-04-27,Oil Change,152.93
V00104,2026-01-03,Oil Change,137.98
V00104,2026-04-28,Battery Replacement,336.4
V00104,2026-01-02,Oil Change,99.88
V00105,2026-04-17,Oil Change,105.54
V00105,2026-04-22,Battery Replacement,397.83
V00105,2026-02-02,Oil Change,137.8
V00105,2026-01-13,Engine Inspection,567.4
V00105,2026-03-30,Cooling System,906.0
V00105,2026-03-18,Cooling System,612.66
V00106,2026-04-20,Battery Replacement,301.53
V00106,2026-04-12,Engine Inspection,586.04
V00106,2026-01-23,Engine Inspection,618.99
V00106,2026-04-24,Brake Repair,553.21
V00106,2026-02-05,Engine Inspection,639.36
V00106,2026-01-31,Engine Inspection,526.21
V00106,2026-03-25,Battery Replacement,336.55
V00107,2026-03-19,Engine Inspection,809.26
V00107,2026-04-06,Oil Change,131.52
V00107,2026-03-08,Oil Change,149.63
V00107,2026-03-30,Oil Change,144.49
V00107,2026-03-24,Engine Inspection,839.74
V00108,2026-01-19,Oil Change,153.15
V00108,2026-03-07,Oil Change,156.08
V00108,2026-04-26,Oil Change,142.45
V00109,2026-04-26,Engine Inspection,825.28
V00109,2026-03-10,Brake Repair,524.46
V00109,2026-04-17,Battery Replacement,392.48
V00109,2026-03-11,Battery Replacement,323.65
V00109,2026-01-30,Oil Change,136.17
V00110,2026-03-25,Oil Change,102.37
V00110,2026-02-10,Oil Change,163.22
V00111,2026-04-25,Transmission Repair,2457.96
V00111,2026-02-28,Battery Replacement,257.17
V00111,2026-02-23,Brake Repair,617.96
V00111,2026-01-23,Engine Inspection,484.43
V00112,2026-04-10,Battery Replacement,274.3
V00112,2026-04-17,Oil Change,140.9
V00112,2026-03-26,Brake Repair,413.69
V00112,2026-03-02,Transmission Repair,1674.15
V00112,2026-02-03,Brake Repair,595.76
V00112,2026-03-12,Engine Inspection,647.83
V00113,2026-01-16,Engine Inspection,725.89
V00113,2026-03-20,Brake Repair,462.37
V00113,2026-02-28,Oil Change,133.86
V00114,2026-01-20,Oil Change,136.57
V00114,2026-02-18,Oil Change,116.2
V00114,2026-02-02,Engine Inspection,676.3
V00114,2026-02-06,Oil Change,152.67
V00114,2026-04-02,Cooling System,733.22
V00115,2026-04-11,Oil Change,112.39
V00115,2026-01-26,Oil Change,111.77
V00115,2026-01-18,Battery Replacement,267.0
V00116,2026-02-13,Oil Change,138.74
V00116,2026-04-04,Engine Inspection,786.38
V00117,2026-04-28,Brake Repair,622.84
V00118,2026-01-15,Oil Change,96.18
V00118,2026-01-27,Brake Repair,501.27
V00118,2026-02-09,Brake Repair,406.7
V00118,2026-02-02,Transmission Repair,1779.14
V00118,2026-02-16,Battery Replacement,335.96
V00118,2026-03-08,Brake Repair,377.94
V00118,2026-04-20,Oil Change,125.45
V00119,2026-03-20,Oil Change,153.38
V00119,2026-02-07,Battery Replacement,384.43
V00119,2026-01-26,Brake Repair,548.01
V00120,2026-03-27,Oil Change,140.16
V00120,2026-01-23,Oil Change,131.53
V00121,2026-03-25,Brake Repair,377.99
V00121,2026-04-03,Battery Replacement,391.79
V00121,2026-04-24,Oil Change,107.81
V00122,2026-04-18,Engine Inspection,781.3
V00122,2026-04-28,Oil Change,142.85
V00122,2026-02-13,Oil Change,155.65
V00122,2026-03-24,Cooling System,764.44
V00122,2026-01-22,Engine Inspection,532.39
V00122,2026-01-28,Oil Change,144.44
V00124,2026-03-08,Cooling System,658.43
V00125,2026-04-04,Oil Change,167.99
V00125,2026-04-29,Transmission Repair,1529.3
V00125,2026-02-01,Battery Replacement,270.11
V00125,2026-01-25,Engine Inspection,500.93
V00125,2026-03-12,Engine Inspection,617.84
V00126,2026-02-24,Engine Inspection,671.85
V00126,2026-03-06,Engine Inspection,786.45
V00126,2026-02-20,Oil Change,163.63
V00126,2026-01-11,Oil Change,106.32
V00126,2026-01-14,Brake Repair,451.35
V00126,2026-04-19,Transmission Repair,1781.12
V00126,2026-02-10,Battery Replacement,268.64
V00126,2026-03-13,Battery Replacement,301.57
V00126,2026-04-10,Battery Replacement,293.46
V00127,2026-03-30,Brake Repair,486.22
V00127,2026-02-02,Oil Change,113.59
V00127,2026-01-19,Engine Inspection,571.08
V00128,2026-03-01,Battery Replacement,259.88
V00128,2026-01-14,Oil Change,98.59
V00128,2026-03-16,Engine Inspection,596.1
V00128,2026-04-15,Oil Change,112.76
V00128,2026-03-31,Cooling System,956.08
V00128,2026-04-03,Oil Change,134.49
V00129,2026-03-19,Brake Repair,578.45
V00129,2026-01-13,Transmission Repair,1448.2
V00129,2026-03-10,Transmission Repair,2067.6
V00130,2026-01-02,Oil Change,162.49
V00130,2026-02-03,Oil Change,106.41
V00130,2026-01-15,Battery Replacement,384.03
V00131,2026-01-06,Engine Inspection,649.05
V00131,2026-03-31,Cooling System,945.89
V00131,2026-04-04,Transmission Repair,2150.66
V00131,2026-04-03,Engine Inspection,482.4
V00131,2026-04-18,Transmission Repair,2320.97
V00131,2026-01-29,Oil Change,116.57
V00131,2026-03-18,Battery Replacement,279.94
V00132,2026-02-07,Engine Inspection,566.62
V00133,2026-02-07,Transmission Repair,1721.77
V00133,2026-04-07,Oil Change,102.61
V00133,2026-03-29,Engine Inspection,527.54
V00134,2026-03-03,Brake Repair,471.64
V00134,2026-04-17,Oil Change,155.09
V00135,2026-01-27,Oil Change,152.51
V00135,2026-01-29,Cooling System,661.93
V00135,2026-03-16,Brake Repair,500.39
V00136,2026-02-16,Battery Replacement,402.5
V00137,2026-04-22,Transmission Repair,1687.56
V00137,2026-04-30,Transmission Repair,1952.86
V00137,2026-02-02,Oil Change,114.05
V00137,2026-02-11,Brake Repair,408.59
V00137,2026-04-28,Oil Change,155.65
V00137,2026-04-28,Brake Repair,525.37
V00137,2026-03-11,Battery Replacement,266.67
V00138,2026-04-03,Cooling System,883.16
V00139,2026-01-06,Oil Change,108.78
V00139,2026-02-09,Battery Replacement,399.48
V00139,2026-02-23,Engine Inspection,790.44
V00140,2026-02-22,Oil Change,141.39
V00140,2026-01-15,Brake Repair,365.16
V00140,2026-03-16,Oil Change,143.93
V00140,2026-03-06,Oil Change,154.72
V00142,2026-01-18,Battery Replacement,286.49
V00142,2026-04-29,Engine Inspection,746.14
V00142,2026-03-06,Oil Change,159.74
V00142,2026-03-08,Oil Change,164.95
V00142,2026-04-07,Battery Replacement,254.79
V00142,2026-01-03,Oil Change,149.68
V00143,2026-03-12,Battery Replacement,389.41
V00143,2026-02-09,Transmission Repair,2443.06
V00144,2026-03-01,Cooling System,570.82
V00144,2026-01-18,Battery Replacement,364.4
V00145,2026-02-22,Oil Change,112.26
V00145,2026-01-23,Oil Change,145.74
V00145,2026-02-04,Oil Change,157.92
V00145,2026-03-01,Battery Replacement,375.62
V00146,2026-04-13,Oil Change,149.74
V00146,2026-03-06,Battery Replacement,395.41
V00146,2026-04-08,Oil Change,146.29
V00146,2026-04-01,Transmission Repair,2010.84
V00147,2026-03-30,Oil Change,129.63
V00147,2026-02-21,Transmission Repair,2471.64
V00147,2026-03-05,Battery Replacement,414.15
V00147,2026-03-08,Cooling System,890.87
V00147,2026-03-10,Brake Repair,373.2
V00147,2026-04-09,Oil Change,96.65
V00148,2026-03-25,Battery Replacement,415.07
V00148,2026-01-07,Engine Inspection,812.51
V00148,2026-03-14,Oil Change,108.75
V00149,2026-01-20,Brake Repair,362.13
V00149,2026-01-13,Brake Repair,495.76
V00149,2026-04-14,Transmission Repair,2339.78
V00150,2026-02-13,Battery Replacement,415.16
V00154,2026-01-19,Engine Inspection,776.23
V00154,2026-03-15,Transmission Repair,1975.55
V00154,2026-02-15,Transmission Repair,2465.8
V00154,2026-03-02,Oil Change,164.36
V00154,2026-02-06,Cooling System,830.7
V00154,2026-02-26,Oil Change,162.62
V00155,2026-03-16,Engine Inspection,576.84
V00155,2026-04-22,Oil Change,155.87
V00155,2026-02-19,Brake Repair,502.34
V00155,2026-03-03,Brake Repair,530.35
V00155,2026-02-27,Brake Repair,555.71
V00156,2026-01-20,Oil Change,119.95
V00157,2026-04-05,Transmission Repair,2122.5
V00157,2026-03-17,Brake Repair,462.25
V00158,2026-02-14,Brake Repair,481.54
V00158,2026-02-14,Oil Change,130.24
V00159,2026-02-08,Cooling System,753.17
V00159,2026-02-26,Transmission Repair,2348.14
V00159,2026-04-13,Engine Inspection,511.52
V00160,2026-01-30,Oil Change,150.89
V00160,2026-03-26,Oil Change,116.77
V00161,2026-02-08,Oil Change,162.46
V00161,2026-02-14,Oil Change,161.52
V00161,2026-03-07,Brake Repair,612.25
V00162,2026-03-03,Engine Inspection,649.62
V00162,2026-02-09,Brake Repair,474.8
V00162,2026-01-14,Oil Change,148.7
V00163,2026-01-12,Cooling System,861.03
V00163,2026-04-01,Brake Repair,520.46
V00163,2026-03-09,Oil Change,105.5
V00164,2026-04-25,Brake Repair,430.8
V00164,2026-04-15,Oil Change,115.33
V00164,2026-02-23,Cooling System,912.74
V00164,2026-02-01,Oil Change,146.44
V00166,2026-01-13,Oil Change,107.65
V00166,2026-02-18,Brake Repair,412.9
V00166,2026-04-29,Brake Repair,372.86
V00166,2026-04-09,Transmission Repair,2327.16
V00166,2026-03-28,Battery Replacement,403.29
V00167,2026-03-07,Brake Repair,522.44
V00169,2026-03-28,Oil Change,159.61
V00169,2026-01-12,Brake Repair,429.71
V00169,2026-01-13,Battery Replacement,255.4
V00169,2026-03-02,Battery Replacement,323.11
V00169,2026-03-03,Cooling System,831.38
V00169,2026-01-14,Oil Change,108.09
V00170,2026-03-22,Oil Change,118.12
V00170,2026-03-22,Transmission Repair,2198.79
V00170,2026-04-11,Oil Change,134.02
V00172,2026-02-06,Brake Repair,561.92
V00172,2026-02-19,Brake Repair,452.87
V00174,2026-01-22,Battery Replacement,335.68
V00174,2026-01-31,Oil Change,121.46
V00174,2026-01-12,Cooling System,823.44
V00175,2026-03-27,Oil Change,155.0
V00175,2026-01-18,Engine Inspection,489.36
V00175,2026-01-20,Engine Inspection,636.19
V00175,2026-01-27,Oil Change,96.32
V00176,2026-04-11,Brake Repair,571.22
V00176,2026-02-03,Cooling System,623.82
V00177,2026-03-20,Brake Repair,475.58
V00177,2026-02-11,Brake Repair,440.62
V00177,2026-02-19,Engine Inspection,832.01
V00177,2026-01-05,Engine Inspection,827.03
V00178,2026-03-15,Oil Change,113.16
V00178,2026-02-12,Brake Repair,362.96
V00178,2026-02-24,Engine Inspection,667.31
V00178,2026-02-09,Brake Repair,608.79
V00179,2026-02-01,Battery Replacement,378.8
V00179,2026-03-17,Engine Inspection,768.01
V00179,2026-04-17,Transmission Repair,2249.53
V00179,2026-03-15,Brake Repair,568.8
V00179,2026-01-18,Cooling System,815.68
V00179,2026-03-08,Oil Change,121.52
V00180,2026-03-12,Battery Replacement,241.75
V00180,2026-04-20,Brake Repair,615.18
V00180,2026-02-05,Brake Repair,469.03
V00180,2026-02-14,Cooling System,722.54
V00180,2026-01-25,Brake Repair,628.28
V00180,2026-04-26,Oil Change,132.25
V00181,2026-02-18,Brake Repair,580.59
V00181,2026-04-14,Oil Change,128.47
V00181,2026-04-07,Oil Change,117.11
V00181,2026-03-13,Brake Repair,546.82
V00181,2026-01-22,Brake Repair,523.42
V00181,2026-01-22,Oil Change,111.19
V00181,2026-02-15,Battery Replacement,372.15
V00182,2026-04-25,Oil Change,163.03
V00182,2026-02-17,Battery Replacement,372.64
V00182,2026-04-02,Brake Repair,499.17
V00182,2026-01-18,Engine Inspection,491.79
V00182,2026-03-31,Oil Change,130.44
V00183,2026-01-20,Engine Inspection,743.19
V00183,2026-03-14,Brake Repair,569.37
V00184,2026-01-18,Brake Repair,403.79
V00184,2026-02-14,Battery Replacement,412.41
V00184,2026-03-15,Cooling System,975.34
V00184,2026-02-02,Oil Change,156.19
V00185,2026-01-18,Oil Change,112.9
V00185,2026-04-21,Brake Repair,471.49
V00187,2026-04-19,Cooling System,795.92
V00187,2026-03-05,Engine Inspection,648.07
V00187,2026-01-28,Brake Repair,561.35
V00187,2026-01-08,Brake Repair,476.29
V00188,2026-04-13,Engine Inspection,597.05
V00188,2026-04-23,Transmission Repair,1732.61
V00188,2026-01-02,Cooling System,832.44
V00189,2026-04-27,Oil Change,144.03
V00189,2026-01-13,Engine Inspection,825.22
V00189,2026-04-27,Battery Replacement,369.89
V00189,2026-02-10,Engine Inspection,747.34
V00190,2026-02-14,Oil Change,122.48
V00190,2026-03-22,Battery Replacement,323.14
V00190,2026-04-28,Oil Change,110.05
V00191,2026-04-11,Oil Change,160.99
V00192,2026-02-16,Brake Repair,611.1
V00192,2026-01-06,Oil Change,159.73
V00192,2026-03-02,Battery Replacement,254.76
V00194,2026-04-16,Oil Change,162.32
V00194,2026-04-08,Oil Change,122.31
V00195,2026-03-21,Oil Change,100.09
V00195,2026-01-30,Transmission Repair,1521.92
V00195,2026-02-21,Cooling System,971.63
V00195,2026-03-08,Cooling System,894.84
V00195,2026-03-28,Battery Replacement,364.67
V00195,2026-01-16,Transmission Repair,1824.49
V00195,2026-03-05,Cooling System,865.83
V00196,2026-03-29,Engine Inspection,495.4
V00196,2026-01-22,Oil Change,141.71
V00197,2026-04-20,Brake Repair,396.42
V00197,2026-03-26,Oil Change,147.61
V00197,2026-03-28,Engine Inspection,655.94
V00197,2026-02-26,Oil Change,112.09
V00197,2026-01-26,Battery Replacement,254.63
V00197,2026-01-29,Cooling System,604.37
V00197,2026-01-12,Brake Repair,587.54
V00197,2026-03-07,Brake Repair,499.26
V00199,2026-04-21,Oil Change,134.07
V00199,2026-04-05,Oil Change,148.11
V00199,2026-01-13,Cooling System,849.99
V00199,2026-03-01,Oil Change,105.21
V00200,2026-04-27,Brake Repair,366.32
V00200,2026-04-09,Brake Repair,372.65
V00201,2026-02-12,Brake Repair,468.82
V00201,2026-01-07,Brake Repair,441.85
V00201,2026-02-24,Brake Repair,623.71
V00201,2026-04-26,Brake Repair,463.6
