ticket_id,vehicle_id,ticket_date,complaint_text,priority
T000106,V00077,2026-01-22,Brake noise reported by driver,Medium
T000107,V00077,2026-01-20,Vehicle overheating during route,High
T000108,V00077,2026-03-05,Oil pressure warning triggered,High
T000109,V00078,2026-02-04,Brake noise reported by driver,Low
T000110,V00078,2026-01-25,Oil pressure warning triggered,High
T000111,V00078,2026-01-02,Battery warning light keeps appearing,Medium
T000112,V00078,2026-01-28,Vehicle idle time unusually high,Medium
T000113,V00079,2026-01-09,Vehicle overheating during route,High
T000114,V00079,2026-01-05,Brake noise reported by driver,Low
T000115,V00079,2026-01-03,No major issue reported,Low
T000116,V00080,2026-02-12,Battery warning light keeps appearing,Medium
T000117,V00081,2026-03-14,Vehicle idle time unusually high,Low
T000118,V00082,2026-04-27,Vehicle idle time unusually high,Medium
T000119,V00083,2026-01-18,Vehicle idle time unusually high,Low
T000120,V00085,2026-01-20,Check engine light is on,Low
T000121,V00085,2026-01-22,No major issue reported,Low
T000122,V00086,2026-01-15,Vehicle overheating during route,High
T000123,V00087,2026-04-18,Oil pressure warning triggered,High
T000124,V00087,2026-03-29,Brake noise reported by driver,Low
T000125,V00087,2026-01-02,Vehicle idle time unusually high,Medium
T000126,V00087,2026-02-14,Vehicle overheating during route,High
T000127,V00088,2026-02-17,Reduced acceleration reported,Medium
T000128,V00088,2026-04-27,Check engine light is on,Medium
T000129,V00089,2026-04-02,Transmission feels delayed,High
T000130,V00089,2026-04-14,Check engine light is on,Low
T000131,V00089,2026-02-13,No major issue reported,Medium
T000132,V00089,2026-02-04,Reduced acceleration reported,Medium
T000133,V00092,2026-01-30,Transmission feels delayed,High
T000134,V00092,2026-03-28,Brake noise reported by driver,Medium
T000135,V00095,2026-03-02,Battery warning light keeps appearing,Medium
T000136,V00095,2026-02-27,Check engine light is on,Medium
T000137,V00098,2026-01-28,Check engine light is on,Medium
T000138,V00099,2026-02-02,Check engine light is on,Medium
T000139,V00099,2026-04-03,Brake noise reported by driver,Low
T000140,V00099,2026-04-19,Reduced acceleration reported,Medium
T000141,V00100,2026-03-07,No major issue reported,Low
T000142,V00101,2026-03-30,Vehicle overheating during route,High
T000143,V00101,2026-02-15,No major issue reported,Low
T000144,V00101,2026-04-01,Vehicle overheating during route,High
T000145,V00102,2026-03-06,Vehicle overheating during route,High
T000146,V00102,2026-02-25,No major issue reported,Low
T000147,V00103,2026-03-10,Check engine light is on,Medium
T000148,V00103,2026-01-29,Oil pressure warning triggered,High
T000149,V00103,2026-04-10,Reduced acceleration reported,Medium
T000150,V00103,2026-02-21,Brake noise reported by driver,Low
T000151,V00105,2026-03-18,Battery warning light keeps appearing,Medium
T000152,V00106,2026-02-02,Reduced acceleration reported,Low
T000153,V00106,2026-03-15,Transmission feels delayed,High
T000154,V00106,2026-04-19,Vehicle overheating during route,High
T000155,V00107,2026-04-22,Vehicle idle time unusually high,Medium
T000156,V00107,2026-04-02,Check engine light is on,Low
T000157,V00107,2026-02-17,Check engine light is on,Low
T000158,V00107,2026-03-21,Check engine light is on,Low
T000159,V00108,2026-04-22,No major issue reported,Medium
T000160,V00108,2026-03-07,No major issue reported,Medium
T000161,V00109,2026-01-03,Vehicle idle time unusually high,Low
T000162,V00109,2026-01-03,No major issue reported,Medium
T000163,V00111,2026-04-19,Reduced acceleration reported,Medium
T000164,V00112,2026-03-14,Reduced acceleration reported,Medium
T000165,V00114,2026-04-13,Check engine light is on,Low
T000166,V00114,2026-03-05,Check engine light is on,Medium
T000167,V00114,2026-01-25,No major issue reported,Medium
T000168,V00114,2026-01-28,Reduced acceleration reported,Low
T000169,V00117,2026-01-20,Vehicle idle time unusually high,Low
T000170,V00118,2026-02-10,Battery warning light keeps appearing,Low
T000171,V00118,2026-03-30,Reduced acceleration reported,Medium
T000172,V00118,2026-02-22,Transmission feels delayed,High
T000173,V00118,2026-04-12,Vehicle idle time unusually high,Low
T000174,V00118,2026-01-08,Reduced acceleration reported,Medium
T000175,V00118,2026-01-12,Oil pressure warning triggered,High
T000176,V00118,2026-01-28,Check engine light is on,Medium
T000177,V00120,2026-03-24,No major issue reported,Medium
T000178,V00120,2026-02-22,No major issue reported,Low
T000179,V00121,2026-03-07,Vehicle idle time unusually high,Low
T000180,V00121,2026-04-27,Check engine light is on,Low
T000181,V00121,2026-02-08,Transmission feels delayed,High
T000182,V00122,2026-03-11,Reduced acceleration reported,Low
T000183,V00123,2026-02-11,Vehicle overheating during route,High
T000184,V00125,2026-03-26,Oil pressure warning triggered,High
T000185,V00125,2026-01-06,No major issue reported,Low
T000186,V00125,2026-01-22,Reduced acceleration reported,Medium
T000187,V00125,2026-04-04,Check engine light is on,Medium
T000188,V00125,2026-01-05,Battery warning light keeps appearing,Low
T000189,V00125,2026-01-23,Oil pressure warning triggered,High
T000190,V00126,2026-04-16,Reduced acceleration reported,Medium
T000191,V00126,2026-01-17,Brake noise reported by driver,Low
T000192,V00127,2026-02-14,Reduced acceleration reported,Low
T000193,V00127,2026-01-17,Vehicle idle time unusually high,Low
T000194,V00128,2026-02-21,Check engine light is on,Medium
T000195,V00129,2026-01-30,Battery warning light keeps appearing,Low
T000196,V00130,2026-02-21,Check engine light is on,Medium
T000197,V00131,2026-04-18,Transmission feels delayed,High
T000198,V00133,2026-01-27,Battery warning light keeps appearing,Low
T000199,V00133,2026-04-27,No major issue reported,Medium
T000200,V00134,2026-04-21,No major issue reported,Medium
T000201,V00134,2026-03-27,Oil pressure warning triggered,High
T000202,V00135,2026-01-06,Vehicle idle time unusually high,Medium
T000203,V00135,2026-04-03,Brake noise reported by driver,Medium
T000204,V00136,2026-01-31,Brake noise reported by driver,Medium
T000205,V00136,2026-02-10,Battery warning light keeps appearing,Medium
T000206,V00137,2026-01-19,Vehicle overheating during route,High
T000207,V00138,2026-02-23,Reduced acceleration reported,Low
T000208,V00138,2026-01-21,Reduced acceleration reported,Medium
T000209,V00138,2026-01-07,Transmission feels delayed,High
T000210,V00139,2026-01-03,Check engine light is on,Low
T000211,V00140,2026-02-05,Battery warning light keeps appearing,Medium
T000212,V00141,2026-03-04,Reduced acceleration reported,Medium
T000213,V00141,2026-03-01,Vehicle idle time unusually high,Medium
T000214,V00143,2026-02-15,Brake noise reported by driver,Medium
T000215,V00143,2026-03-05,Vehicle overheating during route,High
T000216,V00143,2026-02-17,Oil pressure warning triggered,High
T000217,V00144,2026-03-21,Brake noise reported by driver,Low
T000218,V00145,2026-04-03,Battery warning light keeps appearing,Medium
T000219,V00145,2026-02-16,Check engine light is on,Medium
T000220,V00145,2026-02-07,Brake noise reported by driver,Medium
T000221,V00145,2026-02-13,Vehicle overheating during route,High
T000222,V00145,2026-03-02,Reduced acceleration reported,Medium
T000223,V00146,2026-04-21,Brake noise reported by driver,Low
T000224,V00146,2026-03-05,Vehicle overheating during route,High
T000225,V00148,2026-01-09,Transmission feels delayed,High
T000226,V00148,2026-02-21,Check engine light is on,Low
T000227,V00148,2026-02-14,Vehicle idle time unusually high,Medium
T000228,V00148,2026-02-03,No major issue reported,Medium
T000229,V00148,2026-03-01,Check engine light is on,Medium
T000230,V00149,2026-01-25,Oil pressure warning triggered,High
T000231,V00149,2026-01-25,Check engine light is on,Medium
T000232,V00150,2026-01-26,Brake noise reported by driver,Medium
T000233,V00151,2026-04-16,Vehicle overheating during route,High
T000234,V00152,2026-04-21,No major issue reported,Medium
T000235,V00152,2026-01-24,Oil pressure warning triggered,High
T000236,V00154,2026-01-19,Check engine light is on,Medium
T000237,V00154,2026-01-29,No major issue reported,Low
T000238,V00154,2026-01-15,Transmission feels delayed,High
T000239,V00154,2026-03-26,Oil pressure warning triggered,High
T000240,V00154,2026-01-21,Reduced acceleration reported,Low
T000241,V00155,2026-01-21,Transmission feels delayed,High
T000242,V00156,2026-02-01,No major issue reported,Low
T000243,V00156,2026-03-03,Oil pressure warning triggered,High
T000244,V00157,2026-01-20,Brake noise reported by driver,Low
T000245,V00157,2026-01-31,No major issue reported,Low
T000246,V00157,2026-04-06,Transmission feels delayed,High
T000247,V00157,2026-03-09,No major issue reported,Low
T000248,V00157,2026-02-27,Vehicle overheating during route,High
T000249,V00158,2026-03-21,Battery warning light keeps appearing,Low
T000250,V00158,2026-01-22,Check engine light is on,Medium
T000251,V00159,2026-04-01,Brake noise reported by driver,Low
T000252,V00159,2026-03-04,Check engine light is on,Low
T000253,V00161,2026-02-13,Vehicle overheating during route,High
T000254,V00162,2026-02-07,Check engine light is on,Low
T000255,V00163,2026-04-04,Transmission feels delayed,High
T000256,V00163,2026-02-05,Check engine light is on,Low
T000257,V00163,2026-01-20,Transmission feels delayed,High
T000258,V00164,2026-01-19,Oil pressure warning triggered,High
T000259,V00164,2026-04-03,Transmission feels delayed,High
T000260,V00165,2026-03-06,Oil pressure warning triggered,High
T000261,V00165,2026-04-17,No major issue reported,Low
T000262,V00166,2026-04-26,Reduced acceleration reported,Low
T000263,V00166,2026-03-20,Vehicle idle time unusually high,Medium
T000264,V00166,2026-04-03,No major issue reported,Medium
T000265,V00167,2026-04-15,Check engine light is on,Low
T000266,V00168,2026-02-21,Reduced acceleration reported,Low
T000267,V00169,2026-04-20,Transmission feels delayed,High
T000268,V00169,2026-02-06,Reduced acceleration reported,Low
T000269,V00170,2026-01-06,Reduced acceleration reported,Low
T000270,V00172,2026-04-04,Check engine light is on,Medium
T000271,V00173,2026-01-04,Reduced acceleration reported,Low
T000272,V00173,2026-04-02,Reduced acceleration reported,Low
T000273,V00173,2026-02-16,Battery warning light keeps appearing,Medium
T000274,V00174,2026-04-22,Vehicle idle time unusually high,Low
T000275,V00176,2026-01-16,Transmission feels delayed,High
T000276,V00176,2026-03-01,Vehicle idle time unusually high,Medium
T000277,V00176,2026-02-23,Check engine light is on,Low
T000278,V00177,2026-01-24,Reduced acceleration reported,Medium
T000279,V00177,2026-04-10,Battery warning light keeps appearing,Low
T000280,V00178,2026-03-21,No major issue reported,Low
T000281,V00179,2026-03-09,Brake noise reported by driver,Medium
T000282,V00179,2026-02-27,No major issue reported,Medium
T000283,V00179,2026-02-14,Vehicle overheating during route,High
T000284,V00179,2026-01-10,Battery warning light keeps appearing,Medium
T000285,V00180,2026-02-16,Vehicle idle time unusually high,Medium
T000286,V00180,2026-01-11,Battery warning light keeps appearing,Medium
T000287,V00180,2026-03-31,No major issue reported,Medium
T000288,V00180,2026-01-12,Vehicle idle time unusually high,Medium
T000289,V00182,2026-04-23,Reduced acceleration reported,Medium
T000290,V00183,2026-02-22,Battery warning light keeps appearing,Low
T000291,V00184,2026-01-22,Transmission feels delayed,High
T000292,V00184,2026-02-12,No major issue reported,Medium
T000293,V00184,2026-01-31,Vehicle idle time unusually high,Low
T000294,V00184,2026-03-26,Transmission feels delayed,High
T000295,V00185,2026-03-31,Battery warning light keeps appearing,Low
T000296,V00185,2026-01-28,Vehicle overheating during route,High
T000297,V00187,2026-04-21,Vehicle idle time unusually high,Low
T000298,V00187,2026-03-10,Oil pressure warning triggered,High
T000299,V00188,2026-03-06,Transmission feels delayed,High
T000300,V00189,2026-03-21,Vehicle overheating during route,High
T000301,V00189,2026-04-19,Reduced acceleration reported,Medium
T000302,V00189,2026-01-23,Vehicle overheating during route,High
T000303,V00189,2026-01-14,Brake noise reported by driver,Low
T000304,V00190,2026-03-13,No major issue reported,Medium
T000305,V00190,2026-02-14,No major issue reported,Medium
T000306,V00190,2026-01-11,Oil pressure warning triggered,High
T000307,V00191,2026-02-14,Check engine light is on,Medium
T000308,V00192,2026-01-01,No major issue reported,Low
T000309,V00193,2026-04-18,Oil pressure warning triggered,High
T000310,V00194,2026-03-05,Battery warning light keeps appearing,Medium
T000311,V00194,2026-01-02,Oil pressure warning triggered,High
T000312,V00196,2026-04-16,Battery warning light keeps appearing,Medium
T000313,V00199,2026-03-07,Brake noise reported by driver,Medium
T000314,V00201,2026-04-13,Oil pressure warning triggered,High
T000315,V00202,2026-03-05,Vehicle overheating during route,High
T000316,V00202,2026-01-16,Brake noise reported by driver,Medium
T000317,V00202,2026-04-21,Transmission feels delayed,High
T000318,V00202,2026-03-22,No major issue reported,Medium
T000319,V00203,2026-01-09,Transmission feels delayed,High
T000320,V00204,2026-03-16,Reduced acceleration reported,Low
T000321,V00205,2026-02-27,Oil pressure warning triggered,High
T000322,V00206,2026-02-26,Brake noise reported by driver,Medium
T000323,V00207,2026-04-09,Vehicle idle time unusually high,Low
T000324,V00208,2026-04-23,Vehicle overheating during route,High
T000325,V00209,2026-02-03,Battery warning light keeps appearing,Medium
T000326,V00210,2026-04-01,Check engine light is on,Medium
T000327,V00210,2026-03-31,Oil pressure warning triggered,High
T000328,V00210,2026-03-16,No major issue reported,Medium
T000329,V00211,2026-03-31,Brake noise reported by driver,Low
T000330,V00211,2026-02-27,Vehicle overheating during route,High
T000331,V00212,2026-02-03,Oil pressure warning triggered,High
T000332,V00212,2026-01-06,Vehicle idle time unusually high,Medium
T000333,V00212,2026-02-24,Vehicle overheating during route,High
T000334,V00212,2026-03-20,Check engine light is on,Medium
T000335,V00213,2026-01-29,Oil pressure warning triggered,High
T000336,V00213,2026-01-01,No major issue reported,Medium
T000337,V00213,2026-02-01,Brake noise reported by driver,Medium
T000338,V00213,2026-04-29,Check engine light is on,Low
T000339,V00214,2026-02-09,Brake noise reported by driver,Low
T000340,V00215,2026-04-19,Battery warning light keeps appearing,Low
T000341,V00215,2026-01-20,Vehicle idle time unusually high,Medium
T000342,V00216,2026-02-01,Transmission feels delayed,High
T000343,V00216,2026-01-18,Vehicle overheating during route,High
T000344,V00216,2026-04-20,Battery warning light keeps appearing,Medium
T000345,V00217,2026-02-18,Reduced acceleration reported,Medium
T000346,V00218,2026-03-12,Brake noise reported by driver,Medium
T000347,V00218,2026-03-05,Battery warning light keeps appearing,Low
T000348,V00219,2026-04-05,Reduced acceleration reported,Medium
T000349,V00219,2026-03-21,Oil pressure warning triggered,High
T000350,V00219,2026-01-01,Reduced acceleration reported,Low
T000351,V00221,2026-02-28,Battery warning light keeps appearing,Low
T000352,V00221,2026-04-05,Oil pressure warning triggered,High
T000353,V00222,2026-03-11,No major issue reported,Low
T000354,V00223,2026-01-21,Oil pressure warning triggered,High
T000355,V00223,2026-03-11,Vehicle idle time unusually high,Medium
T000356,V00223,2026-04-25,Reduced acceleration reported,Low
T000357,V00223,2026-04-30,Brake noise reported by driver,Medium
T000358,V00224,2026-02-26,No major issue reported,Medium
T000359,V00224,2026-03-13,Transmission feels delayed,High
T000360,V00224,2026-02-04,Transmission feels delayed,High
T000361,V00224,2026-02-14,Check engine light is on,Medium
T000362,V00224,2026-03-05,Battery warning light keeps appearing,Medium
T000363,V00225,2026-03-30,Battery warning light keeps appearing,Medium
T000364,V00225,2026-01-19,Transmission feels delayed,High
T000365,V00225,2026-04-20,Vehicle overheating during route,High
T000366,V00226,2026-01-19,Vehicle idle time unusually high,Low
T000367,V00226,2026-01-27,Oil pressure warning triggered,High
T000368,V00227,2026-02-23,Vehicle idle time unusually high,Medium
T000369,V00228,2026-01-25,Transmission feels delayed,High
T000370,V00229,2026-01-12,Battery warning light keeps appearing,Medium
T000371,V00229,2026-03-20,Reduced acceleration reported,Low
T000372,V00230,2026-04-21,Battery warning light keeps appearing,Medium
T000373,V00231,2026-03-21,Oil pressure warning triggered,High
T000374,V00231,2026-03-13,Check engine light is on,Low
T000375,V00232,2026-02-17,No major issue reported,Medium
T000376,V00232,2026-01-22,Battery warning light keeps appearing,Medium
T000377,V00232,2026-01-12,Check engine light is on,Low
T000378,V00233,2026-01-01,Brake noise reported by driver,Low
T000379,V00233,2026-02-26,Brake noise reported by driver,Low
T000380,V00234,2026-02-23,Brake noise reported by driver,Medium
T000381,V00236,2026-02-05,Battery warning light keeps appearing,Medium
T000382,V00236,2026-04-07,Reduced acceleration reported,Medium
T000383,V00237,2026-03-09,Vehicle idle time unusually high,Medium
T000384,V00237,2026-04-26,Battery warning light keeps appearing,Low
T000385,V00238,2026-04-19,No major issue reported,Low
T000386,V00238,2026-02-04,Reduced acceleration reported,Medium
T000387,V00238,2026-04-15,Brake noise reported by driver,Medium
T000388,V00239,2026-02-13,Battery warning light keeps appearing,Low
T000389,V00241,2026-01-03,Vehicle overheating during route,High
T000390,V00241,2026-01-25,Transmission feels delayed,High
T000391,V00241,2026-03-26,Oil pressure warning triggered,High
T000392,V00242,2026-04-23,Oil pressure warning triggered,High
T000393,V00243,2026-01-26,Reduced acceleration reported,Low
T000394,V00244,2026-04-10,No major issue reported,Low
T000395,V00244,2026-03-30,Brake noise reported by driver,Low
T000396,V00245,2026-03-20,No major issue reported,Medium
T000397,V00248,2026-01-27,Brake noise reported by driver,Low
T000398,V00248,2026-03-31,No major issue reported,Medium
T000399,V00248,2026-03-21,Check engine light is on,Medium
T000400,V00250,2026-01-25,No major issue reported,Low
T000401,V00251,2026-01-22,Oil pressure warning triggered,High
T000402,V00252,2026-03-09,Reduced acceleration reported,Medium
T000403,V00252,2026-04-08,Check engine light is on,Low
T000404,V00253,2026-03-24,Reduced acceleration reported,Medium
T000405,V00253,2026-02-14,Transmission feels delayed,High
T000406,V00253,2026-01-29,No major issue reported,Medium
T000407,V00254,2026-01-03,Vehicle overheating during route,High
T000408,V00255,2026-04-05,Transmission feels delayed,High
T000409,V00256,2026-01-24,Reduced acceleration reported,Low
T000410,V00258,2026-04-29,Check engine light is on,Medium
T000411,V00259,2026-02-21,Reduced acceleration reported,Low
T000412,V00259,2026-01-13,Check engine light is on,Medium
T000413,V00261,2026-02-21,Brake noise reported by driver,Medium
T000414,V00261,2026-04-03,Reduced acceleration reported,Low
T000415,V00261,2026-01-26,Vehicle overheating during route,High
T000416,V00261,2026-01-01,Battery warning light keeps appearing,Low
T000417,V00261,2026-02-26,Oil pressure warning triggered,High
T000418,V00261,2026-03-30,Brake noise reported by driver,Low
T000419,V00261,2026-03-20,Brake noise reported by driver,Low
T000420,V00262,2026-01-14,Battery warning light keeps appearing,Low
T000421,V00262,2026-01-15,Brake noise reported by driver,Medium
T000422,V00264,2026-04-23,Battery warning light keeps appearing,Low
T000423,V00264,2026-03-21,Vehicle idle time unusually high,Low
T000424,V00266,2026-02-07,Oil pressure warning triggered,High
T000425,V00268,2026-01-10,Vehicle overheating during route,High
T000426,V00268,2026-03-27,Oil pressure warning triggered,High
T000427,V00269,2026-01-29,Oil pressure warning triggered,High
T000428,V00269,2026-04-27,Oil pressure warning triggered,High
T000429,V00270,2026-01-29,Reduced acceleration reported,Medium
T000430,V00270,2026-04-06,Battery warning light keeps appearing,Low
T000431,V00271,2026-02-14,Vehicle overheating during route,High
T000432,V00272,2026-03-25,Oil pressure warning triggered,High
T000433,V00273,2026-01-15,Transmission feels delayed,High
T000434,V00273,2026-03-15,Battery warning light keeps appearing,Low
T000435,V00274,2026-01-27,Reduced acceleration reported,Low
T000436,V00275,2026-04-12,Transmission feels delayed,High
T000437,V00275,2026-04-29,Battery warning light keeps appearing,Medium
T000438,V00277,2026-04-28,Battery warning light keeps appearing,Low
T000439,V00278,2026-04-12,Brake noise reported by driver,Medium
T000440,V00278,2026-02-01,Brake noise reported by driver,Low
T000441,V00279,2026-01-15,Oil pressure warning triggered,High
T000442,V00279,2026-01-08,Battery warning light keeps appearing,Medium
T000443,V00281,2026-04-27,Transmission feels delayed,High
T000444,V00281,2026-03-13,Battery warning light keeps appearing,Medium
T000445,V00282,2026-01-19,Reduced acceleration reported,Medium
T000446,V00283,2026-04-23,Battery warning light keeps appearing,Low
T000447,V00284,2026-01-11,Vehicle idle time unusually high,Low
T000448,V00286,2026-02-16,Brake noise reported by driver,Low
T000449,V00288,2026-03-24,Brake noise reported by driver,Medium
T000450,V00288,2026-03-09,Vehicle overheating during route,High
T000451,V00289,2026-04-30,No major issue reported,Medium
T000452,V00291,2026-03-02,Brake noise reported by driver,Low
T000453,V00292,2026-03-12,Oil pressure warning triggered,High
T000454,V00292,2026-03-19,Vehicle idle time unusually high,Medium
T000455,V00293,2026-02-14,Oil pressure warning triggered,High
T000456,V00295,2026-03-18,Reduced acceleration reported,Low
T000457,V00295,2026-01-12,Battery warning light keeps appearing,Medium
T000458,V00296,2026-02-10,No major issue reported,Medium
T000459,V00297,2026-04-14,Reduced acceleration reported,Low
T000460,V00297,2026-03-19,Brake noise reported by driver,Low
T000461,V00298,2026-02-07,Reduced acceleration reported,Medium
T000462,V00300,2026-04-25,Transmission feels delayed,High
T000463,V00301,2026-04-19,Battery warning light keeps appearing,Medium
T000464,V00302,2026-01-13,No major issue reported,Medium
T000465,V00302,2026-04-05,Brake noise reported by driver,Medium
T000466,V00303,2026-03-13,Vehicle idle time unusually high,Medium
T000467,V00303,2026-02-02,Reduced acceleration reported,Medium
T000468,V00303,2026-04-29,Transmission feels delayed,High
T000469,V00305,2026-01-30,Oil pressure warning triggered,High
T000470,V00306,2026-03-04,No major issue reported,Low
T000471,V00306,2026-03-31,No major issue reported,Low
T000472,V00307,2026-01-07,Check engine light is on,Medium
T000473,V00308,2026-04-01,Oil pressure warning triggered,High
T000474,V00310,2026-01-11,Vehicle idle time unusually high,Medium
T000475,V00311,2026-03-27,Reduced acceleration reported,Medium
T000476,V00312,2026-01-01,No major issue reported,Medium
T000477,V00314,2026-03-02,Oil pressure warning triggered,High
T000478,V00314,2026-03-19,Vehicle overheating during route,High
T000479,V00314,2026-04-25,Brake noise reported by driver,Low
T000480,V00316,2026-01-26,Vehicle overheating during route,High
T000481,V00316,2026-04-08,Check engine light is on,Medium
T000482,V00316,2026-02-26,Reduced acceleration reported,Medium
T000483,V00316,2026-01-01,Vehicle overheating during route,High
T000484,V00317,2026-03-22,Transmission feels delayed,High
T000485,V00318,2026-03-14,Battery warning light keeps appearing,Medium
